<<<<<<< HEAD
tau,p_value
tau,p_value
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.3333333333333334,0.75
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.0,1.0
0.3333333333333334,0.75
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.0,1.0
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.0,1.0
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.0,1.0
0.0,1.0
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.3333333333333334,0.75
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.0,1.0
0.0,1.0
0.3333333333333334,0.75
1.0,0.08333333333333333
0.3333333333333334,0.75
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.3333333333333334,0.75
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.0,1.0
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
0.0,1.0
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.3333333333333334,0.75
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.0,1.0
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.6666666666666669,0.3333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.6666666666666669,0.3333333333333333
1.0,0.08333333333333333
1.0,0.08333333333333333
0.0,1.0
1.0,0.08333333333333333
1.0,0.08333333333333333
